tape+AF8-video,complete,individual,treatment,rank,date,temperature,weight,ct+AF8-width,scrape+AF8-avg,srms+AF8-avg,thump+AF8-avg,trms+AF8-avg,buzz+AF8-avg,brms+AF8-avg,srates+AF8-avg,sfreq+AF8-avg,tfreq+AF8-avg,bfreq+AF8-avg,comments
2+AC0-12,TRUE,929,warm,2,5/8/2013,46.1111,0.0125,1.04067,0.107335,30.8128,0.169954,22.4664,1.02805,13.1795,8.2795285,67.2981,92.9249,139.955,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-8,TRUE,929,rt,1,5/6/2013,27.2222,0.00846,1.04067,0.187821,52.4663,0.281221,30.6599,2.08462,25.6353,5.4440561,41.1588,61.5871,70.3846,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-14,TRUE,929,cool,3,6/5/2013,22.7778,0.00977,1.04067,0.25703,47.0407,0.354985,33.2182,3.20413,25.1319,3.5854306,33.495,46.7429,47.9171,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-4,FALSE,684,rt,1,10/5/2012,26.6667,nan,1.001,0.189846,54.138,0.42106,56.4589, , ,4.9980326,31.0633,101.542, ,+ACI-+AFs-'never completed buzz' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
1+AC0-8,FALSE,684,warm,2,10/12/2012,38.3333,nan,1.001,0.105489,54.2395,0.155072,51.2051,1.5002,37.9747,9.7448962,94.62,128.859,133.906,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
1+AC0-14,FALSE,684,cool,3,10/16/2012,23.8889,nan,1.001,0.248455,55.6974,0.390966,55.8463,3.6786,34.7181,4.2415775,31.6134,58.3504,62.3752,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
2+AC0-19,TRUE,938,cool,2,6/13/2013,22.7778,0.00669,nan,0.247644,56.7122,0.443986,42.8781,3.94598,28.211,4.0520682,32.0336,41.2388,57.2732,+ACI-+AFs-'Not very good file. ' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
2+AC0-20,TRUE,938,rt,3,6/17/2013,26.6667,0.00625,nan,0.208087,54.9849,0.335174,39.6654,2.99743,21.9663,4.625487,63.9208,56.297,61.3415,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
2+AC0-17,TRUE,938,warm,1,6/12/2013,34.4444,0.00766,nan,0.112736,30.9951,0.207184,21.7027,1.5875,12.3041,8.3991722,57.9071,91.8881,109.62,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-21,TRUE,932,warm,3,6/17/2013,38.8889,0.00704,0.959667,0.1041,23.8205,0.155233,25.3055,1.02905,17.2186,9.8794324,71.7553,117.433,137.434,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-18,TRUE,932,rt,2,6/13/2013,25.5556,0.00635,0.959667,0.218753,50.272,0.360892,34.3221,3.35245,19.5192,4.5319471,30.9489,53.0391,62.5721,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' ''+AF0-+ACI-
2+AC0-16,TRUE,932,cool,1,6/12/2013,21.1111,nan,0.959667,0.313135,54.0648,0.507413,44.2029,3.48936,20.5443,3.819017,26.8311,47.0383,46.2344,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-7,FALSE,679,warm,1,10/12/2012,36.1111,nan,1.091,0.116805,47.462,0.172557,50.5245,0.871457,33.8484,7.4934457,48.8996,92.3061,144.711,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-27,FALSE,679,rt,2,10/19/2012,26.0556,nan,1.091,0.200283,61.6971,0.352497,51.7534,2.51154,37.1068,4.887276,20.1484,67.0974,68.8051,+ACI-+AFsAIgAi-don't use +AC0- use next+ACIAIg- '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
